"Name","Followers","Following","Tweets","Country"
"Elon Musk","163.9","181","23.3K","United States"
"Kim Kardahian","75.1","122","36.2K","United States"
"Gary Vaynerchuk","3.1","          20.4K","208.4K","Russia"
"Malala Yousafzai","2","          661M","1,025","Pakistani"
"Pewdiepie","0.5294","            0M","0","Newyork"
"Oprah winfrey","42.9","317","13.6K","United States"
"Neil DeGrasse Tyson","14.8","27","8,046","United States"
"Cristiano Ronaldo","107.8","65","3,883","Portuguese"
"Ellen DeGeneres","76.6","25.7K","24.5K","United States"
"Alexandria Ocasio-cortez"," 13.4","4,144","14.5K","United States"
